#erel:= 0.850;
#emax:= 2508.198;
#q:= 0.000;
#nesce:=     9;
#etime:= 0.036;
#snodes:=   232;
param nS:=    10;
param nSG:=    34;
param nRVSG :=
1 24
5 2
9 2
13 2
17 2
21 9
25 2
29 2
33 2
2 24
6 2
10 2
14 2
18 2
22 2
26 2
30 2
34 24
3 24
7 20
11 17
15 2
19 2
23 2
27 2
31 2
4 24
8 2
12 2
16 13
20 2
24 2
28 4
32 2
;


param ScenF :=
1 36.647
59 53.4607
117 37.4477
175 29.534
2 54.7217
60 46.8533
118 47.5005
176 21.2194
3 46.9947
61 45.2458
119 65.9199
177 24.5854
4 43.4916
62 48.304
120 63.9102
178 44.5304
5 43.5828
63 48.5451
121 0.272426
179 64.5536
6 45.0536
64 47.5214
122 0
180 80.072
7 50.3865
65 46.3041
123 0.240262
181 55.5244
8 53.9486
66 58.4178
124 0
182 0.119079
9 71.7817
67 84.3794
125 0.225114
183 0.5875
10 79.0569
68 104.252
126 0
184 0.10869
11 74.3024
69 105.637
127 26.7446
185 0.4506
12 67.586
70 90.8056
128 45.3221
186 0.113046
13 60.9589
71 80.4753
129 45.0763
187 0.2336
14 59.8779
72 72.8458
130 40.9627
188 0.157093
15 57.2545
73 22.4934
131 57.4807
189 0.0035
16 55.3724
74 43.1755
132 66.2507
190 0.224158
17 55.6415
75 38.3284
133 62.7802
191 0
18 63.9814
76 35.6761
134 58.6487
192 0.246497
19 82.1679
77 35.0733
135 61.4548
193 0
20 100.815
78 36.2164
136 58.9854
194 76.4604
21 101.302
79 35.1128
137 55.3711
195 74.8948
22 103.895
80 30.7858
138 51.2585
196 67.1289
23 104.193
81 34.9028
139 50.7677
197 55.2393
24 84.7294
82 34.527
140 60.6816
198 0.245531
25 21.1758
83 44.7132
141 76.266
199 0
26 26.392
84 46.1769
142 86.7312
200 0.267431
27 34.4489
85 43.3461
143 65.0356
201 0
28 38.6038
86 39.3855
144 0.180004
202 0.275327
29 44.257
87 39.4894
145 0
203 0
30 42.9512
88 40.3756
146 0.0624576
204 0.234102
31 47.8836
89 37.5376
147 0
205 0
32 30.844
90 38.4623
148 0
206 0.166495
33 31.0513
91 58.7146
149 0.045
207 0
34 50.5785
92 83.2336
150 0.0124132
208 0.175687
35 57.2387
93 106.357
151 0.3165
209 1.55727
36 54.3731
94 100.102
152 35.3274
210 0
37 63.2809
95 88.0466
153 41.8497
211 0.712787
