# Parameters for Flexible Demand Model 
## Central Demand
param FD := 1 17.05
            2 15.81
            3 15.04
            4 14.55
            5 14.28
            6 14.26
            7 14.99
            8 15.83
            9 16.77
            10 18.83
            11 20.7
            12 21.61
            13 22.11
            14 23.11
            15 23.21
            16 21.81
            17 20.88
            18 20.75
            19 20.97
            20 23.11
            21 24.05
            22 23.22
            23 21.0
            24 18.65
; 
 
## Lower Bound on Flexible Demand 
param FD_L := 1 13.64
            2 12.65
            3 12.03
            4 11.64
            5 11.43
            6 11.41
            7 11.99
            8 12.66
            9 13.42
            10 15.06
            11 16.56
            12 17.29
            13 17.69
            14 18.49
            15 18.56
            16 17.45
            17 16.7
            18 16.6
            19 16.77
            20 18.48
            21 19.24
            22 18.58
            23 16.8
            24 14.92
; 
 
## Upper Bound on Flexible Demand 
param FD_U := 1 20.46
            2 18.97
            3 18.05
            4 17.46
            5 17.14
            6 17.11
            7 17.99
            8 18.99
            9 20.13
            10 22.59
            11 24.84
            12 25.93
            13 26.53
            14 27.73
            15 27.85
            16 26.17
            17 25.05
            18 24.9
            19 25.16
            20 27.73
            21 28.86
            22 27.87
            23 25.21
            24 22.38
; 
 
## Upper Bound on Upwards Reserve Provided by Flexible Demand 
param RUFD := 1 6.82
            2 6.32
            3 6.02
            4 5.82
            5 5.71
            6 5.7
            7 6.0
            8 6.33
            9 6.71
            10 7.53
            11 8.28
            12 8.64
            13 8.84
            14 9.24
            15 9.28
            16 8.72
            17 8.35
            18 8.3
            19 8.39
            20 9.24
            21 9.62
            22 9.29
            23 8.4
            24 7.46
; 
 
## Upper Bound on Downwards Reserve Provided by Flexible Demand 
param RDFD := 1 40.91
            2 37.94
            3 36.1
            4 34.91
            5 34.28
            6 34.22
            7 35.98
            8 37.99
            9 40.26
            10 45.19
            11 49.69
            12 51.86
            13 53.06
            14 55.47
            15 55.69
            16 52.35
            17 50.1
            18 49.8
            19 50.32
            20 55.45
            21 57.72
            22 55.73
            23 50.41
            24 44.75
; 
 
## Number nFI of time intervals in which a certain fraction of the demand has to be met (card(set F)) 
param nFI := 2; 
 
## First time step of interval f in FI 
param TF_L :=   1 7 
                2 18
; 
 
## Last time step of interval f in FI
param TF_U :=   1 9 
                2 22
; 
 
## Fraction of central demand that needs to be met during interval f in FI 
param coef_FD :=    1 1 
                    2 1
; 
 
## Cost per unit of flexible demand activated [EUR]
param C_FD := 1; 
